KALINLIKID;KUMASCINSIID;IPLIKCINSIID;LYCRATIPIID;LYCRA;OZELLIKID;SIPARISKILO;SIPARISMETRE;PUS;FEINE;TUPACIKENMAYLI;ILAVEISLEMLER;ISLEMGRUBUID;BASKITIPIID;GRAMAJ;SIPARISPROSESID;PROSESID;RECETETURUID;LABRECETEGRUPID;LABRENKGRUPID;USTASAMAID;RENKDERINLIGIID;ICTAMIRVAR;PARTIACILISTARIHI;PARTIILKSEVKTARIHI;TERMINTARIHI
;28;;;0;;0;10;;;0;;3;19;;203;203;;;;;99;0;9.03.2021;21.08.2021;165
63;20;36;;0;;15;0;;;;ENZİM, HİDROFİL SİLİKON;1;;180;504;504;44;2;2;126;99;0;17.02.2022;23.02.2022;6
;317;;;0;;0;55;;;0;;1;;;32;32;14;3;4;41;99;0;8.03.2021;13.03.2021;5
;317;;;0;;0;15;;;;;1;;;32;32;14;3;4;41;99;0;8.03.2021;13.03.2021;5
63;22;68;;0;;380;0;;;;ENZİM, HİDROFİL SİLİKON;6;;150;500;500;44;2;9;126;99;0;17.02.2022;1.03.2022;12
63;20;36;;0;;15;0;;;;ENZİM, HİDROFİL SİLİKON;6;;180;504;504;44;2;9;126;99;0;17.02.2022;1.03.2022;12
;317;;;0;;0;10;;;0;;3;1;;24;24;;;;;99;0;9.03.2021;12.03.2021;3
;317;;;0;;0;61000;;;0;;3;;265;29;29;38;3;1;78;99;1;17.02.2022;20.03.2022;31
;1.446;;;0;;0;3200;;;0;;6;;300;1;1;1;3;9;7;99;0;18.09.2021;25.09.2021;7
;317;;;0;;0;10;;;0;;1;;;17;17;;;;;99;0;18.09.2021;21.09.2021;3
;317;;;0;;0;17539;;;;;3;;265;29;29;38;3;1;78;99;0;17.02.2022;24.02.2022;7
75;23;169;;0;;20;0;;;0;ENZİM, SİLİKON, YAĞ SÖKÜMÜ;1;;280;513;513;47;2;5;126;99;0;24.04.2022;5.05.2022;11
;317;;;0;;0;10;;;0;;1;;;16;16;;;;;99;0;7.12.2021;20.12.2021;13
;317;;6;1;;0;5;;;0;;0;19;;159;159;17;3;1;13;99;0;10.08.2021;14.12.2021;126
;317;;;0;;0;9700;;;0;;3;1;335;196;196;;;;;99;0;17.02.2022;26.02.2022;9
;317;;;0;;0;100;;;0;;3;;280;126;126;38;3;1;78;99;1;9.09.2021;19.09.2021;10
;3.039;;;0;;0;400;;;;;1;19;;159;159;17;3;1;13;99;1;8.02.2022;26.02.2022;18
;3.039;;;0;;0;400;;;;;1;19;;159;159;17;3;1;13;99;0;8.02.2022;24.02.2022;16
63;20;36;16;1;;47;0;;;0;SİLİKON;6;;230;504;504;44;2;9;126;99;0;17.02.2022;22.02.2022;5
63;22;114;;0;;214;0;;;;ENZİM, KENAR KESME KOLA, SİLİKON;6;;160;500;500;44;2;9;126;99;0;17.02.2022;22.02.2022;5
;317;;;0;;0;5100;;;;;3;1;;173;173;;;;;99;0;16.02.2022;21.02.2022;5
;317;;;0;;0;904;;;;;6;;;1;1;1;3;9;7;99;0;18.02.2022;1.03.2022;11
;287;;;0;;0;15;;;0;;3;19;;203;203;;;;;99;1;13.01.2022;16.03.2022;62
;317;;;0;;0;92;;;0;;1;;;4;4;1;3;1;7;99;0;3.06.2021;3.09.2021;92
;292;;;0;;0;1793;;;;;0;;;148;148;17;3;1;13;99;1;18.02.2022;3.03.2022;13
;34;;;0;;0;860;;;;;3;;;15;15;38;3;1;78;99;0;18.02.2022;2.03.2022;12
63;22;36;17;1;;247;0;;;;ENZİM, KENAR KESME KOLA, SİLİKON;0;;200;502;502;17;2;1;126;99;0;18.02.2022;26.02.2022;8
;187;;;0;;0;560;;;0;;0;;;149;149;17;3;1;13;99;0;24.02.2022;5.03.2022;9
;317;;;0;;0;2718;;;;;1;;275;2;2;1;3;8;7;99;1;18.02.2022;4.03.2022;14
;317;;;0;;0;400;;;0;;3;;300;15;15;38;3;1;78;99;0;4.01.2021;8.01.2021;4
63;22;68;18;1;;4500;0;;;0;ENZİM, KENAR KESME KOLA, SİLİKON, YAĞ SÖKÜMÜ;6;;200;502;502;44;2;9;126;99;0;18.02.2022;28.02.2022;10
63;22;68;;0;;950;0;;;1;ENZİM, HİDROFİL SİLİKON;1;;150;500;500;44;2;5;126;99;0;21.02.2022;23.02.2022;2
;317;;;0;;0;9200;;;;;3;2;70;48;47;;;;;99;1;21.02.2022;2.03.2022;9
;187;;;0;;0;560;;;;;1;;;138;138;1;3;4;7;99;0;24.02.2022;6.03.2022;10
54;22;36;;0;;5;0;;;0;AZ ENZİM, KENAR KESME KOLA, SİLİKON;3;2;165;2.083;2.083;49;2;1;126;99;0;18.02.2022;28.02.2022;10
;317;;;0;;0;870;;;;;1;;;500;500;44;2;2;126;99;0;22.02.2022;1.03.2022;7
;1.830;;;0;;0;10;;;;;3;1;;173;173;;;;;99;0;15.02.2021;10.04.2021;54
;317;;;0;;0;200;;;0;;3;;;13;13;38;3;1;78;99;0;13.04.2021;20.04.2021;7
;317;;;0;;0;15;;;;;1;1;;24;24;;;;;99;0;17.02.2022;3.03.2022;14
;317;;;0;;0;13900;;;;;3;2;70;48;47;;;;;99;0;21.02.2022;28.02.2022;7
;1.777;;;0;;0;1350;;;0;;3;19;;137;137;;;;;99;0;24.02.2022;15.03.2022;19
;317;;;0;;0;2250;;;0;;1;;200;2;2;1;3;9;7;99;0;18.02.2022;25.02.2022;7
;317;;;0;;0;13900;;;;;3;2;70;48;47;;;;;99;0;21.02.2022;8.03.2022;15
63;22;36;;0;;5;0;;;;KENAR KESME KOLA, SİLİKON;0;2;145;2.083;2.083;17;2;1;126;99;0;17.02.2022;21.02.2022;4
;317;;;0;;0;2250;;;;;1;;200;2;2;1;3;3;7;99;0;18.02.2022;25.02.2022;7
;690;;;0;;0;7;;;;;3;19;;203;203;;;;;99;0;9.02.2022;1.03.2022;20
;187;;;0;;0;15;;;0;;3;19;;203;203;;;;;99;0;9.02.2022;16.03.2022;35
;4;;;0;;0;400;;;;;1;;;2;2;1;3;1;7;99;0;18.02.2022;26.02.2022;8
;317;;;0;;0;764;;;0;;3;;;126;126;38;3;1;78;99;0;10.03.2022;19.03.2022;9
63;20;36;;0;;40;0;;;;ENZİM, HİDROFİL SİLİKON;1;;180;500;500;44;2;5;126;99;0;21.02.2022;23.02.2022;2
;317;;;0;;0;4446;;;;;3;;285;15;15;38;3;1;78;99;0;22.02.2022;2.03.2022;8
