KALINLIKID;KUMASCINSIID;IPLIKCINSIID;LYCRATIPIID;LYCRA;OZELLIKID;SIPARISKILO;SIPARISMETRE;PUS;FEINE;TUPACIKENMAYLI;ILAVEISLEMLER;ISLEMGRUBUID;BASKITIPIID;GRAMAJ;SIPARISPROSESID;PROSESID;RECETETURUID;LABRECETEGRUPID;LABRENKGRUPID;USTASAMAID;RENKDERINLIGIID;ICTAMIRVAR;PARTIACILISTARIHI;PARTIILKSEVKTARIHI;TERMINTARIHI
65;12;36;16;1;;250;0;;;;ENZİM, SİLİKON;1;;350;504;504;44;2;7;126;99;0;31.01.2022;10.02.2022;10
;317;;;0;;0;2740;;;;;6;;;68;67;1;3;9;7;99;0;1.02.2022;2.02.2022;1
33;22;36;;0;;25;0;;;0;ENZİM, SİLİKON;6;;180;500;500;44;2;9;126;99;0;31.01.2022;2.02.2022;2
33;20;36;;0;;5;0;;;;ENZİM, SİLİKON;6;;;504;504;44;2;9;126;99;0;31.01.2022;2.02.2022;2
;317;;;0;;0;3500;;;0;;2;;;269;269;43;3;1;121;99;0;1.02.2022;3.02.2022;2
33;22;36;;0;;25;0;;;;ENZİM, SİLİKON;1;;180;500;500;44;2;1;126;99;0;31.01.2022;2.02.2022;2
;22;63;13;1;;25;0;;;;ENZİM, SİLİKON;6;;240;502;502;44;2;9;126;99;0;31.01.2022;2.02.2022;2
;317;;;0;;0;10;;;0;;1;19;295;203;203;;;;;99;0;1.02.2022;8.02.2022;7
38;22;36;;0;;25;0;;;0;ENZİM, SİLİKON;1;;300;500;500;44;2;9;126;99;0;31.01.2022;4.02.2022;4
65;12;36;16;1;;5;0;;;;ENZİM, SİLİKON;1;;;504;504;44;2;9;126;99;0;31.01.2022;4.02.2022;4
;317;;;0;;0;23;;;0;;3;1;;24;24;;;;;99;0;1.02.2022;12.02.2022;11
63;3.086;70;;0;36;5;0;;;0;SİLİKON;0;1;200;2.082;2.082;51;2;1;126;99;0;1.02.2022;4.02.2022;3
172;3.079;33;;0;49;318;0;;;0;SİLİKON;0;;200;500;500;17;2;1;126;99;0;1.02.2022;10.02.2022;9
77;23;36;;0;;20;0;;;0;ENZİM;1;;270;504;504;44;2;9;126;99;0;31.01.2022;1.02.2022;1
65;12;36;16;1;;6;0;;;;ENZİM;1;;350;504;504;44;2;9;126;99;0;31.01.2022;1.02.2022;1
98;3.070;50;16;1;;22;0;;;0;KENAR KESME, SİLİKON;1;;280;502;502;47;2;1;126;99;0;14.02.2022;18.02.2022;4
63;22;36;;0;;5;0;;;;ENZİM;1;;150;504;504;44;2;9;126;99;0;31.01.2022;1.02.2022;1
;317;;;0;;0;20;;;0;;3;1;;24;24;;;;;99;0;9.02.2022;12.02.2022;3
;1.777;;;0;;0;100;;;;;3;19;;137;137;;;;;99;1;29.10.2021;10.02.2022;104
;1.769;;;0;;0;80;;;0;ENZİM;1;;;3;3;44;2;2;126;99;0;14.02.2022;16.02.2022;2
;317;;;0;;0;370;;;0;;3;19;;136;136;;;;;99;0;20.10.2021;16.02.2022;119
;317;;;0;;0;900;;;0;;3;;;29;29;38;3;1;78;99;0;1.02.2022;9.02.2022;8
;317;;;0;;0;23;;;;;3;1;;24;24;;;;;99;0;1.02.2022;12.02.2022;11
63;20;36;16;1;;5;0;;;;ENZİM;1;;240;504;504;44;2;9;126;99;0;31.01.2022;1.02.2022;1
;1.324;;;0;;0;1500;;;;;1;;;3;3;1;3;9;7;99;0;31.01.2022;10.02.2022;10
;317;;;0;;0;15;;;0;;3;1;;24;24;;;;;99;0;31.01.2022;8.02.2022;8
;187;;;0;;0;10;;;0;;3;19;;203;203;;;;;99;0;31.01.2022;3.02.2022;3
;317;;;0;;0;1;;;0;;3;19;;203;203;;;;;99;0;27.08.2021;2.02.2022;159
81;23;33;;0;;537;0;;;0;ENZİM, SİLİKON;1;;310;528;528;47;2;8;126;99;0;31.01.2022;3.02.2022;3
65;12;36;16;1;;156;0;;;;ENZİM, SİLİKON;1;;;529;529;47;2;8;126;99;0;31.01.2022;3.02.2022;3
;690;;;0;;0;10;;;0;;3;19;;203;203;;;;;99;0;31.01.2022;8.02.2022;8
;317;;;0;;0;14;;;;;3;19;;203;203;;;;;99;0;21.12.2021;8.02.2022;49
;317;;;0;;0;15;;;0;;3;19;;137;137;;;;;99;0;19.11.2021;8.02.2022;81
172;3.079;33;;0;49;319;0;;;;SİLİKON;1;;200;500;500;47;2;2;126;99;0;1.02.2022;12.02.2022;11
63;22;114;;0;;51;0;;;0;ENZİM, HİDROFİL SİLİKON, KENAR KESME KOLA;1;;150;504;504;44;2;1;126;99;0;1.02.2022;4.02.2022;3
65;12;124;16;1;;19;0;;;0;SİLİKON;1;;340;504;504;47;2;8;126;99;1;1.02.2022;10.02.2022;9
;1.777;;;0;;0;201;;;;;1;;;80;80;1;3;1;7;99;0;1.02.2022;7.02.2022;6
63;7;36;;0;;51;0;;;0;SİLİKON;6;;;500;500;44;2;9;126;99;0;1.02.2022;4.02.2022;3
;39;;;0;;0;60;;;0;;3;19;;203;203;;;;;99;0;1.02.2022;2.02.2022;1
73;6;36;16;1;;45;0;;;0;ENZİM, SİLİKON;1;;250;502;502;44;2;5;126;99;1;1.02.2022;4.02.2022;3
48;12;77;16;1;85;93;0;;;0;SİLİKON;1;;345;502;502;44;2;3;126;99;0;3.02.2022;12.02.2022;9
73;6;36;16;1;;38;0;;;;ENZİM, SİLİKON;1;;250;502;502;44;2;5;126;99;0;1.02.2022;14.02.2022;13
48;12;77;16;1;85;118;0;;;0;SİLİKON;6;;345;502;502;44;2;9;126;99;0;1.02.2022;18.02.2022;17
48;12;77;16;1;85;110;0;;;;SİLİKON;6;;345;502;502;44;2;3;126;99;0;1.02.2022;11.02.2022;10
63;6;86;15;1;;1054;0;;;0;ENZİM, IPEKSI APRE, KENAR KESME;6;;250;502;502;44;2;9;126;99;0;1.02.2022;7.02.2022;6
;317;;;0;;0;728;;;;;6;;;1;1;1;3;9;7;99;0;17.01.2022;25.02.2022;39
63;21;136;;0;73;1350;0;;;0;SİLİKON;1;;260;500;500;47;2;4;126;99;0;1.02.2022;4.02.2022;3
;2.931;;;0;;0;10;;;;;1;4;;41;41;;;;;99;0;26.01.2022;2.02.2022;7
;3.039;;;0;;0;250;;;;;1;19;;159;159;17;3;1;13;99;0;8.02.2022;23.02.2022;15
;2.931;;;0;;0;10;;;;;1;1;;24;24;;;;;99;0;26.01.2022;2.02.2022;7
;317;;;0;;0;5587;;;0;;3;;235;15;15;38;3;1;78;99;0;2.02.2022;14.02.2022;12
;2.169;;;0;;0;15;;;0;;3;19;;203;203;;;;;99;0;1.02.2022;3.02.2022;2
;2.169;;;0;;0;15;;;;;3;19;;203;203;;;;;99;0;1.02.2022;3.02.2022;2
;317;;;0;;0;360;;;;;3;19;;209;209;;;;;99;0;7.02.2022;18.02.2022;11
;317;;;0;;0;2500;;;0;;1;19;;137;137;;;;;99;1;2.02.2022;18.02.2022;16
176;23;123;;0;;814;0;;;;ENZİM, SİLİKON;3;;285;504;504;44;2;1;126;99;0;1.02.2022;3.02.2022;2
;317;;;0;;0;100;;;;;6;;;1;1;1;3;9;7;99;0;17.01.2022;4.02.2022;18
65;12;125;5;1;;423;0;;;0;ENZİM, SİLİKON;1;;380;504;504;44;2;1;126;99;0;2.02.2022;7.02.2022;5
174;7;33;;0;73;80;0;;;;SİLİKON;1;;200;497;497;47;2;9;126;99;0;2.02.2022;8.02.2022;6
115;20;36;16;1;;9;0;;;;SİLİKON;1;;250;497;497;47;2;9;126;99;0;2.02.2022;8.02.2022;6
;1.777;;;0;;0;56;;;;;3;19;;137;137;;;;;99;1;29.10.2021;9.02.2022;103
163;23;36;;0;28;120;0;;;0;ENZİM, SİLİKON, TRAŞ, ŞARDON;1;;380;513;513;44;2;9;126;99;0;1.02.2022;15.02.2022;14
65;12;125;5;1;;404;0;;;;ENZİM, SİLİKON;1;;380;500;500;44;2;1;126;99;0;2.02.2022;7.02.2022;5
163;23;36;;0;28;132;0;;;0;ENZİM, SİLİKON, TRAŞ, ŞARDON;1;;380;513;513;44;2;1;126;99;0;3.02.2022;10.02.2022;7
163;23;36;;0;28;180;0;;;;ENZİM, SİLİKON, TRAŞ, ŞARDON;1;;380;513;513;44;2;1;126;99;0;1.02.2022;10.02.2022;9
163;23;36;;0;28;500;0;;;;ENZİM, SİLİKON, TRAŞ, ŞARDON;1;;380;513;513;44;2;9;126;99;0;1.02.2022;8.02.2022;7
163;23;36;;0;28;190;0;;;;ENZİM, SİLİKON, TRAŞ, ŞARDON;1;;380;513;513;44;2;9;126;99;0;1.02.2022;14.02.2022;13
;317;;;0;;0;560;;;0;;3;;;15;15;38;3;1;78;99;0;2.02.2022;9.02.2022;7
;935;;;0;;0;10;;;0;;1;4;;41;41;;;;;99;0;2.02.2022;14.02.2022;12
;287;;;0;;0;21200;;;0;;3;;;29;29;38;3;1;78;99;1;2.02.2022;14.02.2022;12
;317;;;0;;0;14295;;;0;;3;1;;40;40;;;;;99;0;11.01.2022;1.03.2022;49
;317;;;0;;0;1009;;;0;;6;;;1;1;1;3;9;7;99;0;2.02.2022;15.02.2022;13
;317;;;0;;0;3950;;;0;;3;;;150;150;38;3;1;78;99;0;2.02.2022;12.02.2022;10
;317;;;0;;0;285;;;0;;3;;330;15;15;38;3;1;78;99;0;2.02.2022;8.02.2022;6
;317;;;0;;0;2618;;;0;;3;;220;29;29;38;3;1;78;99;0;2.02.2022;9.02.2022;7
;317;;;0;;0;250;;;;;3;19;;209;209;;;;;99;0;2.02.2022;15.02.2022;13
;317;;;0;;0;3000;;;0;;1;;;139;139;1;3;9;7;99;0;2.02.2022;22.02.2022;20
;317;;;0;;0;2000;;;;;1;;;139;139;1;3;8;7;99;0;2.02.2022;21.02.2022;19
;317;;;0;;0;3000;;;;;1;;;139;139;1;3;1;7;99;0;2.02.2022;15.02.2022;13
;317;;;0;;0;3000;;;;;1;;;139;139;1;3;1;7;99;1;2.02.2022;14.02.2022;12
;317;;;0;;0;2000;;;;;1;;;139;139;1;3;5;7;99;0;2.02.2022;23.02.2022;21
;317;;;0;;0;2000;;;;;1;;;139;139;1;3;9;7;99;0;2.02.2022;15.02.2022;13
;317;;;0;;0;1000;;;;;1;;;139;139;1;3;9;7;99;1;2.02.2022;14.02.2022;12
;317;;;0;;0;400;;;;;1;19;;137;137;;;;;99;0;2.02.2022;14.02.2022;12
;317;;;0;;0;119;;;0;;0;;;58;58;17;3;1;13;99;0;3.02.2022;1.03.2022;26
;1.121;;;0;;0;80;;;0;;1;;;269;269;43;3;1;121;99;0;14.02.2022;16.02.2022;2
;317;;;0;;0;500;;;;;1;19;;137;137;;;;;99;0;2.02.2022;14.02.2022;12
;216;;;0;;0;788;;;0;;3;19;;137;137;;;;;99;1;2.02.2022;17.03.2022;43
58;22;55;13;1;;220;0;;;;SİLİKON;3;2;220;2.083;2.083;49;2;1;126;99;0;2.02.2022;8.02.2022;6
;317;;;0;;0;28090;;;;;1;;220;139;139;1;3;8;7;99;1;2.02.2022;16.02.2022;14
;23;36;;0;28;54;0;;;0;ENZİM, KENAR KESME KOLA, SİLİKON;6;;375;504;504;44;2;9;126;99;0;2.02.2022;4.02.2022;2
63;22;36;;0;;14;0;;;;ENZİM, KENAR KESME KOLA, SİLİKON;6;;150;504;504;44;2;9;126;99;0;2.02.2022;4.02.2022;2
63;12;36;16;1;;22;0;;;;ENZİM, KENAR KESME KOLA, SİLİKON;6;;350;504;504;44;2;9;126;99;0;2.02.2022;4.02.2022;2
;317;;;0;;0;2577;;;0;;3;1;;24;24;;;;;99;0;3.02.2022;5.03.2022;30
;317;;;0;;0;100;;;;;1;;;139;139;1;3;8;7;99;0;2.02.2022;21.02.2022;19
;317;;;0;;0;100;;;;;1;;;139;139;1;3;9;7;99;0;2.02.2022;22.02.2022;20
;317;;;0;;0;37;;;;;3;1;;24;24;;;;;99;0;2.02.2022;12.02.2022;10
;317;;;0;;0;40;;;;;3;1;;40;40;;;;;99;0;21.01.2022;9.02.2022;19
85;7;33;;0;56;160;0;;;;;1;;300;497;497;47;2;9;126;99;0;2.02.2022;8.02.2022;6
65;12;36;16;1;;50;0;;;;;1;;420;497;497;47;2;9;126;99;0;2.02.2022;8.02.2022;6
63;22;36;;0;;21;0;;;;;1;;140;497;497;47;2;9;126;99;0;2.02.2022;8.02.2022;6
63;22;36;;0;;224;0;;;0;;1;;145;497;497;;;;;99;0;2.02.2022;10.02.2022;8
;317;;;0;;0;20;;;0;;1;1;;24;24;14;3;4;41;99;0;3.02.2022;11.02.2022;8
63;22;36;;0;;359;0;;;;;1;;145;497;497;;;;;99;0;2.02.2022;8.02.2022;6
;317;;;0;;0;250;;;0;;3;;;126;126;38;3;1;78;99;0;9.02.2022;14.02.2022;5
98;3.070;50;16;1;;22;0;;;;KENAR KESME, SİLİKON;1;;280;502;502;47;2;3;126;99;0;14.02.2022;24.02.2022;10
;317;;;0;;0;16;;;0;;3;1;;24;24;;;;;99;0;10.02.2022;1.03.2022;19
63;22;36;;0;;271;0;;;;;1;;145;497;497;;;;;99;0;2.02.2022;8.02.2022;6
;317;;;0;;0;20;;;;;3;1;;24;24;;;;;99;0;10.02.2022;22.02.2022;12
;317;;;0;;0;20;;;;;1;1;;24;24;14;3;4;41;99;0;3.02.2022;11.02.2022;8
;317;;;0;;0;1672;;;0;;3;;;126;126;38;3;1;78;99;0;10.02.2022;18.02.2022;8
81;23;33;;0;;28;0;;;;;1;;280;508;508;44;2;2;126;99;0;3.02.2022;9.02.2022;6
;933;;;0;;0;3083;;;;;0;;270;58;58;17;3;1;13;99;0;2.02.2022;16.02.2022;14
;3.039;;;0;;0;87;;;;;1;19;;159;159;17;3;1;13;99;0;18.09.2021;10.02.2022;145
;3.039;;;0;;0;87;;;;;1;19;;159;159;17;3;1;13;99;0;18.09.2021;10.02.2022;145
;1.777;;;0;;0;1;;;0;;3;19;;137;137;;;;;99;0;29.10.2021;3.02.2022;97
;317;;;0;;0;766;;;0;;3;1;;24;24;;;;;99;0;2.02.2022;5.03.2022;31
143;23;43;;0;52;809;0;;;0;ENZİM, HİDROFİL SİLİKON;6;;280;525;525;47;2;9;126;99;1;3.02.2022;18.02.2022;15
;317;;;0;;0;3434;;;0;;3;;128;13;13;38;3;1;78;99;0;2.02.2022;12.02.2022;10
63;22;36;;0;;50;0;;;1;ENZİM, HİDROFİL SİLİKON;6;;150;500;500;47;2;9;126;99;1;3.02.2022;15.02.2022;12
;317;;;0;;0;1450;;;0;;6;;;3;3;1;3;9;7;99;0;2.02.2022;16.02.2022;14
81;23;33;;0;;59;0;;;;;1;;280;508;508;44;2;4;126;99;0;3.02.2022;9.02.2022;6
65;20;36;16;1;;98;0;;;;ENZİM, HİDROFİL SİLİKON;6;;370;527;527;47;2;9;126;99;1;3.02.2022;23.02.2022;20
;317;;;0;;0;15;;;0;;3;19;;203;203;;;;;99;0;3.02.2022;10.02.2022;7
;317;;;0;;0;105;;;0;;6;;160;3;3;;;;;99;0;3.02.2022;10.02.2022;7
;317;;;0;;0;105;;;;;1;;160;3;3;;;;;99;0;3.02.2022;10.02.2022;7
;317;;;0;;0;105;;;;;1;;160;3;3;1;3;1;7;99;0;3.02.2022;12.03.2022;37
121;17;132;21;1;46;46;0;;;;HİDROFİL SİLİKON;3;;185;497;497;49;2;1;126;99;0;3.02.2022;4.02.2022;1
;317;;;0;;0;15;;;;;3;19;;203;203;;;;;99;0;3.02.2022;10.02.2022;7
;317;;;0;;0;360;;;;;3;2;;191;191;;;;;99;0;8.02.2022;24.02.2022;16
74;23;36;;0;28;29;0;;;0;ENZİM, HİDROFİL SİLİKON;3;;350;504;504;49;2;1;126;99;0;2.02.2022;3.02.2022;1
;317;;;0;;0;200;;;0;;6;;;88;88;;;;;99;0;3.02.2022;9.02.2022;6
;317;;;0;;0;150;;;;;1;;200;201;201;1;3;8;7;99;0;3.02.2022;4.02.2022;1
;317;;;0;;0;200;;;;;3;2;;48;47;;;;;99;0;3.02.2022;17.02.2022;14
;40;;;0;;0;3;;;;;1;19;;159;159;17;3;1;13;99;0;2.10.2021;9.02.2022;130
58;7;131;;0;83;2230;0;;;;SİLİKON;1;;265;502;502;45;2;3;126;99;0;14.01.2022;9.03.2022;54
;40;;;0;;0;3;;;;;1;19;;159;159;17;3;1;13;99;0;2.10.2021;9.02.2022;130
;317;;;0;;0;10;;;;;3;19;;136;136;;;;;99;0;27.01.2022;10.02.2022;14
;3.039;;;0;;0;4971;;;;;6;;;3;3;1;3;9;7;99;0;3.02.2022;21.02.2022;18
63;6;86;15;1;;709;0;;;1;ENZİM, IPEKSI APRE, KENAR KESME;6;;250;502;502;44;2;9;126;99;0;3.02.2022;11.02.2022;8
;3.039;;;0;;0;5;;;;;1;19;;136;136;;;;;99;0;7.08.2021;24.02.2022;201
;317;;;0;;0;95;;;0;;1;;170;138;138;1;3;1;7;99;0;9.02.2022;4.03.2022;23
;317;;;0;;0;1;;;;;1;19;;159;159;17;3;1;13;99;0;21.11.2021;8.02.2022;79
;3.039;;;0;;0;1100;;;;;1;2;;84;84;17;3;1;13;99;0;3.02.2022;23.02.2022;20
;317;;;0;;0;28;;;0;;1;19;245;203;203;;;;;99;0;3.02.2022;10.02.2022;7
;317;;;0;;0;15;;;0;;1;19;300;203;203;;;;;99;0;3.02.2022;10.02.2022;7
;3.039;;;0;;0;1100;;;;;1;2;;84;84;17;3;1;13;99;0;3.02.2022;23.02.2022;20
;3.039;;;0;;0;1100;;;;;1;2;;84;84;17;3;1;13;99;0;3.02.2022;24.02.2022;21
;3.039;;;0;;0;1100;;;;;1;2;;84;84;17;3;1;13;99;0;3.02.2022;23.02.2022;20
;188;;;0;;0;2250;;;0;;0;;;58;58;17;3;1;13;99;0;3.02.2022;15.02.2022;12
;317;;;0;;0;16946;;;0;;0;;;58;58;17;3;1;13;99;1;9.02.2022;22.02.2022;13
;2.931;;;0;;0;20;;;;;1;1;;24;24;;;;;99;0;26.01.2022;7.02.2022;12
;3.039;;;0;;0;1104;;;;;1;2;;84;84;17;3;1;13;99;0;3.02.2022;23.02.2022;20
;216;;;0;;0;20;;;;;3;2;;183;183;;;;;99;0;5.01.2022;9.02.2022;35
;317;;;0;;0;900;;;;;1;;;80;80;1;3;9;7;99;0;9.02.2022;18.02.2022;9
;3.039;;6;1;;0;122;;;0;;3;;245;15;15;38;3;1;78;99;0;3.02.2022;10.02.2022;7
;1.777;;;0;;0;1;;;0;;3;19;;137;137;;;;;99;0;4.05.2021;8.02.2022;280
;317;;;0;;0;14;;;0;;3;2;;191;191;;;;;99;0;3.02.2022;14.02.2022;11
63;20;33;;0;87;42;0;;;0;ENZİM, SİLİKON;1;;;504;504;44;2;1;126;99;0;3.02.2022;8.02.2022;5
;287;;;0;;0;10;;;0;;3;19;;137;137;;;;;99;1;13.01.2022;8.02.2022;26
58;22;77;13;1;;10;0;;;;SİLİKON;3;19;220;2.084;2.084;49;2;1;126;99;0;2.02.2022;18.02.2022;16
;1.830;;;0;;0;8;;;;;3;19;;203;203;;;;;99;0;12.11.2021;14.02.2022;94
;317;;;0;;0;300;;;;;3;19;;136;136;;;;;99;0;2.09.2021;18.02.2022;169
63;22;135;;0;;681;0;;;0;KENAR KESME KOLA, SİLİKON;3;2;155;2.083;2.083;49;2;1;126;99;0;27.01.2022;15.02.2022;19
;317;;;0;;0;450;;;;;3;19;;136;136;;;;;99;0;20.10.2021;21.02.2022;124
;317;;;0;;0;75;;;;;3;19;;136;136;;;;;99;0;20.10.2021;16.02.2022;119
;317;;;0;;0;100;;;;;3;19;;136;136;;;;;99;0;2.09.2021;16.02.2022;167
;3.039;;;0;;0;250;;;;;1;19;;159;159;17;3;1;13;99;0;8.02.2022;2.03.2022;22
;317;;;0;;0;100;;;0;;3;;;150;150;38;3;1;78;99;0;3.02.2022;12.02.2022;9
;317;;;0;;0;10;;;;;3;2;;183;183;;;;;99;1;19.01.2022;14.02.2022;26
;317;;;0;;0;15;;;;;3;1;;173;173;;;;;99;1;20.08.2021;11.02.2022;175
;1.976;;;0;;0;227;;;0;;3;;;68;67;38;3;1;78;99;0;10.02.2022;11.02.2022;1
;212;;;0;;0;1850;;;0;;3;2;;183;183;;;;;99;1;7.02.2022;24.02.2022;17
;317;;;0;;0;15;;;;;3;1;;173;173;;;;;99;1;20.08.2021;11.09.2021;22
;317;;;0;;0;1019;;;;;1;;;80;80;1;3;5;7;99;0;9.02.2022;18.02.2022;9
;317;;;0;;0;100;;;;;1;;;111;112;14;3;1;41;99;0;3.02.2022;22.02.2022;19
;317;;;0;;0;100;;;;;1;;;111;112;14;3;4;41;99;0;3.02.2022;16.02.2022;13
;317;;;0;;0;100;;;;;1;;;111;112;14;3;5;41;99;0;3.02.2022;16.02.2022;13
;317;;;0;;0;20;;;0;;1;6;;72;72;;;;;99;0;9.02.2022;22.02.2022;13
;317;;;0;;0;20;;;0;;3;19;;203;203;;;;;99;0;7.02.2022;10.02.2022;3
;317;;;0;;0;10;;;0;;1;4;;41;41;;;;;99;0;8.02.2022;14.02.2022;6
;1.061;;;0;;0;10;;;;;3;4;;41;41;;;;;99;0;8.02.2022;16.02.2022;8
;3.039;;;0;;0;250;;;;;1;19;;159;159;17;3;1;13;99;0;8.02.2022;21.02.2022;13
;3.039;;;0;;0;250;;;;;1;19;;159;159;17;3;1;13;99;0;8.02.2022;23.02.2022;15
63;22;94;;0;;622;0;;;;KENAR KESME KOLA, SİLİKON;3;2;160;2.083;2.083;49;2;1;126;99;0;7.02.2022;15.02.2022;8
63;22;94;;0;;439;0;;;;KENAR KESME KOLA, SİLİKON;3;2;160;2.083;2.083;49;2;1;126;99;0;7.02.2022;17.02.2022;10
63;22;94;;0;;1750;0;;;;KENAR KESME KOLA, SİLİKON;3;2;160;2.083;2.083;49;2;1;126;99;0;7.02.2022;15.02.2022;8
;317;;;0;;0;562;;;0;;3;19;;203;203;;;;;99;0;3.02.2022;10.02.2022;7
63;22;135;;0;;5;0;;;;KENAR KESME KOLA, SİLİKON;3;2;155;2.083;2.083;49;2;1;126;99;0;27.01.2022;11.02.2022;15
63;22;135;;0;;5;0;;;;KENAR KESME KOLA, SİLİKON;3;2;155;2.083;2.083;49;2;1;126;99;0;27.01.2022;11.02.2022;15
63;22;135;;0;;5;0;;;;KENAR KESME KOLA, SİLİKON;3;2;155;2.083;2.083;49;2;1;126;99;0;27.01.2022;11.02.2022;15
;3.039;;;0;;0;250;;;;;1;19;;159;159;17;3;1;13;99;0;8.02.2022;24.02.2022;16
63;12;36;25;1;;95;0;;;0;ENZİM, KENAR KESME, SİLİKON;1;;230;504;504;44;2;4;126;99;0;10.02.2022;16.02.2022;6
;317;;;0;;0;5;;;0;;1;19;;203;203;;;;;99;0;3.02.2022;10.02.2022;7
63;22;36;;0;;517;0;;;0;;1;;145;497;497;;;;;99;0;3.02.2022;9.02.2022;6
63;20;36;16;1;;66;0;;;;;1;;230;497;497;;;;;99;0;3.02.2022;9.02.2022;6
58;12;139;15;1;;30;0;;;0;SİLİKON;2;;260;517;517;50;2;1;139;99;0;7.02.2022;10.02.2022;3
63;22;68;;0;;5;0;;;;KENAR KESME KOLA, SİLİKON;3;1;145;2.082;2.082;49;2;1;126;99;0;10.01.2022;11.02.2022;32
;1.769;;;0;;0;500;;;0;;0;19;;159;159;17;3;1;13;99;1;8.02.2022;22.02.2022;14
63;22;36;;0;;121;0;;;;;1;;145;497;497;;;;;99;0;3.02.2022;11.02.2022;8
63;20;36;16;1;;15;0;;;;;1;;230;497;497;;;;;99;0;3.02.2022;11.02.2022;8
;935;;;0;;0;10;;;0;;1;4;;41;41;;;;;99;0;9.02.2022;1.03.2022;20
63;22;36;;0;;713;0;;;;;1;;145;497;497;;;;;99;0;3.02.2022;10.02.2022;7
63;20;36;16;1;;52;0;;;;;1;;230;497;497;;;;;99;0;3.02.2022;8.02.2022;5
;1.769;;;0;;0;697;;;;;3;19;;203;203;;;;;99;0;20.10.2021;16.02.2022;119
63;22;36;;0;;497;0;;;;;1;;145;497;497;;;;;99;0;3.02.2022;11.02.2022;8
63;20;36;16;1;;49;0;;;;;1;;230;497;497;;;;;99;0;3.02.2022;11.02.2022;8
63;22;68;;0;;2908;0;;;0;ENZİM, KENAR KESME KOLA, SİLİKON;1;;150;500;500;44;2;1;126;99;0;3.02.2022;9.02.2022;6
2;3.079;7;16;1;;324;0;;;;SİLİKON;1;;260;517;517;44;2;1;126;99;0;8.02.2022;16.02.2022;8
63;20;36;16;1;;190;0;;;;ENZİM, SİLİKON;1;;250;500;500;44;2;1;126;99;0;3.02.2022;10.02.2022;7
63;20;36;17;1;;45;0;;;;;1;;230;497;497;;;;;99;0;3.02.2022;10.02.2022;7
;1.976;;;0;;0;416;;;;;3;;;126;126;38;3;1;78;99;0;10.02.2022;18.02.2022;8
63;20;36;16;1;;202;0;;;;;1;;230;497;497;;;;;99;0;3.02.2022;9.02.2022;6
;317;;;0;;0;944;;;0;;6;;;2;2;1;3;9;7;99;1;8.02.2022;25.02.2022;17
;187;;;0;;0;5;;;0;;3;19;;137;137;;;;;99;0;8.02.2022;14.02.2022;6
;317;;;0;;0;1468;;;0;;6;;;3;3;1;3;9;7;99;0;8.02.2022;17.02.2022;9
;317;;;0;;0;100;;;;;1;19;;159;159;17;3;1;13;99;0;21.11.2021;10.02.2022;81
;187;;;0;;0;5;;;;;3;19;;137;137;;;;;99;0;8.02.2022;14.02.2022;6
58;22;77;13;1;;1513;0;;;;SİLİKON;3;2;220;2.083;2.083;49;2;1;126;99;0;2.02.2022;16.02.2022;14
;317;;;0;;0;100;;;;;1;19;;159;159;17;3;1;13;99;0;21.11.2021;10.02.2022;81
;317;;;0;;0;96;;;;;1;19;;159;159;17;3;1;13;99;0;21.11.2021;10.02.2022;81
;317;;;0;;0;450;;;0;;1;4;;41;41;;;;;99;0;8.02.2022;1.03.2022;21
63;22;68;;0;;1319;0;;;0;KENAR KESME KOLA, SİLİKON;3;1;150;2.082;2.082;49;2;1;126;99;0;8.02.2022;23.02.2022;15
;317;;;0;;0;8350;;;;;1;;230;125;125;20;3;3;76;99;0;7.02.2022;25.02.2022;18
;317;;;0;;0;10;;;;;3;19;;137;137;;;;;99;0;30.10.2021;14.02.2022;107
;317;;;0;;0;13150;;;;;1;;230;125;125;20;3;4;76;99;1;22.02.2022;22.04.2022;59
;317;;;0;;0;10;;;;;3;19;;137;137;;;;;99;0;30.10.2021;14.02.2022;107
63;22;36;;0;;270;0;;;;;1;;145;497;497;;;;;99;0;3.02.2022;11.02.2022;8
63;20;36;16;1;;40;0;;;;;1;;230;497;497;;;;;99;0;3.02.2022;11.02.2022;8
173;7;113;;0;73;120;0;;;0;ENZİM, SİLİKON;6;;250;504;504;44;2;9;126;99;0;8.02.2022;11.02.2022;3
63;22;68;;0;;808;0;;;;ENZİM, KENAR KESME KOLA, SİLİKON;1;;150;500;500;44;2;1;126;99;0;8.02.2022;11.02.2022;3
63;22;36;;0;;2279;0;;;;;1;;145;497;497;;;;;99;0;3.02.2022;10.02.2022;7
63;20;36;16;1;;190;0;;;;ENZİM, SİLİKON;1;;250;500;500;44;2;1;126;99;0;8.02.2022;11.02.2022;3
;317;;;0;;0;2000;;;0;;0;;;148;148;17;3;1;13;99;0;7.02.2022;15.02.2022;8
173;7;113;;0;73;336;0;;;;ENZİM, SİLİKON;6;;250;504;504;44;2;9;126;99;0;8.02.2022;11.02.2022;3
;317;;;0;;0;4686;;;;;6;;280;1;1;1;3;9;7;99;0;7.02.2022;21.02.2022;14
63;22;68;;0;;3710;0;;;;ENZİM, KENAR KESME KOLA, SİLİKON;1;;150;500;500;44;2;8;126;99;1;8.02.2022;17.02.2022;9
